Date,Open,High,Low,Close,__source_file__
2021-02-22,"3,885.55","3,902.92","3,874.71","3,876.50",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-23,"3,857.07","3,895.98","3,805.59","3,881.37",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-24,"3,873.71","3,928.65","3,859.60","3,925.43",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-25,"3,915.80","3,925.02","3,814.04","3,829.34",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-26,"3,839.66","3,861.08","3,789.54","3,811.15",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-01,"3,842.51","3,914.50","3,842.51","3,901.82",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-02,"3,903.64","3,906.41","3,868.57","3,870.29",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-03,"3,863.99","3,874.47","3,818.86","3,819.72",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-04,"3,818.53","3,843.67","3,723.34","3,768.47",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-05,"3,793.58","3,851.69","3,730.19","3,841.94",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-08,"3,844.39","3,881.06","3,819.25","3,821.35",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-09,"3,851.93","3,903.76","3,851.93","3,875.44",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-10,"3,891.99","3,917.35","3,885.73","3,898.81",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-11,"3,915.54","3,960.27","3,915.54","3,939.34",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-12,"3,924.52","3,944.99","3,915.21","3,943.34",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-15,"3,942.96","3,970.08","3,923.54","3,968.94",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-16,"3,973.59","3,981.04","3,953.44","3,962.71",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-17,"3,949.57","3,983.87","3,935.74","3,974.12",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-18,"3,953.50","3,969.62","3,910.86","3,915.46",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-19,"3,913.14","3,930.12","3,886.75","3,913.10",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-22,"3,916.48","3,955.31","3,914.16","3,940.59",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-23,"3,937.60","3,949.13","3,901.57","3,910.52",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-24,"3,919.93","3,942.08","3,889.07","3,889.14",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-25,"3,879.34","3,919.54","3,853.50","3,909.52",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-26,"3,917.12","3,978.19","3,917.12","3,974.54",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-29,"3,969.31","3,981.83","3,943.25","3,971.09",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-30,"3,963.34","3,968.01","3,944.35","3,958.55",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-03-31,"3,967.25","3,994.41","3,966.98","3,972.89",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-01,"3,992.78","4,020.63","3,992.78","4,019.87",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-05,"4,034.44","4,083.42","4,034.44","4,077.91",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-06,"4,075.57","4,086.23","4,068.14","4,073.94",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-07,"4,074.29","4,083.13","4,068.31","4,079.95",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-08,"4,089.95","4,098.19","4,082.54","4,097.17",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-09,"4,096.11","4,129.48","4,095.51","4,128.80",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-12,"4,124.71","4,131.76","4,114.82","4,127.99",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-13,"4,130.10","4,148.00","4,124.43","4,141.59",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-14,"4,141.58","4,151.69","4,120.87","4,124.66",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-15,"4,139.76","4,173.49","4,139.76","4,170.42",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-16,"4,174.14","4,191.31","4,170.75","4,185.47",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-19,"4,179.80","4,180.81","4,150.47","4,163.26",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-20,"4,159.18","4,159.18","4,118.38","4,134.94",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-21,"4,128.42","4,175.02","4,126.35","4,173.42",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-22,"4,170.46","4,179.57","4,123.69","4,134.98",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-23,"4,138.78","4,194.17","4,138.78","4,180.17",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-26,"4,185.03","4,194.19","4,182.36","4,187.62",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-27,"4,188.25","4,193.35","4,176.22","4,186.72",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-28,"4,185.14","4,201.53","4,181.78","4,183.18",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-29,"4,206.14","4,218.78","4,176.81","4,211.47",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-04-30,"4,198.10","4,198.10","4,174.85","4,181.17",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-05-03,"4,191.98","4,209.39","4,188.03","4,192.66",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-05-04,"4,179.04","4,179.04","4,128.59","4,164.66",Download Data - INDEX_US_S&P US_SPX-2021.csv
